,time,open,high,low,close,tick_volume,spread,real_volume
0,1420156800,1.20481,1.20689,1.19993,1.20002,46909,17,0
1,1420416000,1.1951100000000001,1.19756,1.1859899999999999,1.19322,88646,17,0
2,1420502400,1.19323,1.1968,1.18834,1.18886,85679,17,0
3,1420588800,1.18889,1.18954,1.1801300000000001,1.18386,91337,17,0
4,1420675200,1.18381,1.18466,1.17534,1.1791,76163,17,0
5,1420761600,1.17908,1.18452,1.17617,1.18396,90542,17,0
6,1421020800,1.18452,1.187,1.17853,1.18331,76830,17,0
7,1421107200,1.18321,1.18589,1.17526,1.17719,90284,17,0
8,1421193600,1.17715,1.18456,1.17266,1.17878,107570,17,0
9,1421280000,1.17887,1.1791800000000001,1.1567,1.16314,163066,17,0
10,1421366400,1.16315,1.1648,1.14591,1.15601,154498,17,0
11,1421625600,1.15499,1.16381,1.15499,1.16062,86853,17,0
12,1421712000,1.16059,1.16141,1.15395,1.15488,96326,17,0
13,1421798400,1.1549,1.16791,1.15406,1.16088,112095,17,0
14,1421884800,1.16092,1.16504,1.13154,1.13645,134654,17,0
15,1421971200,1.13646,1.13734,1.11137,1.12042,145331,17,0
16,1422230400,1.11485,1.12946,1.10969,1.1238,110333,16,0
17,1422316800,1.12361,1.14218,1.12228,1.13797,117900,17,0
18,1422403200,1.13801,1.13822,1.12754,1.12862,119368,17,0
19,1422489600,1.12865,1.1367099999999999,1.12612,1.13187,114709,17,0
20,1422576000,1.13188,1.1363,1.12772,1.12817,112820,17,0
21,1422835200,1.1311,1.13613,1.12915,1.13404,96078,17,0
22,1422921600,1.13399,1.15328,1.13116,1.14796,129583,17,0
23,1423008000,1.14807,1.14841,1.13148,1.1344,124066,17,0
24,1423094400,1.1344400000000001,1.14981,1.13032,1.14761,127632,16,0
25,1423180800,1.14759,1.14852,1.1311,1.13133,108077,16,0
26,1423440000,1.1295600000000001,1.13586,1.12694,1.13232,97561,16,0
27,1423526400,1.13233,1.13446,1.12721,1.13198,103256,16,0
28,1423612800,1.13196,1.13466,1.1279,1.13341,92688,15,0
29,1423699200,1.13317,1.14223,1.13011,1.14018,119277,16,0
30,1423785600,1.14015,1.14423,1.13791,1.13882,93703,16,0
31,1424044800,1.1395,1.14283,1.13186,1.13522,61742,16,0
32,1424131200,1.13528,1.14483,1.1320999999999999,1.1409799999999999,99826,16,0
33,1424217600,1.14103,1.14153,1.1333,1.13961,91730,16,0
34,1424304000,1.13963,1.14496,1.13544,1.13669,84652,16,0
35,1424390400,1.1367,1.14287,1.1278,1.13788,114882,16,0
36,1424649600,1.13886,1.13952,1.12944,1.13335,71467,16,0
37,1424736000,1.13333,1.13573,1.12874,1.13396,94921,16,0
38,1424822400,1.13397,1.1388099999999999,1.1335,1.13601,87782,16,0
39,1424908800,1.13594,1.1379,1.11828,1.11967,97398,16,0
40,1424995200,1.11961,1.12445,1.11753,1.11943,103101,16,0
41,1425254400,1.11772,1.12399,1.11593,1.11835,79178,16,0
42,1425340800,1.11831,1.12168,1.11538,1.1175,85052,16,0
43,1425427200,1.11753,1.11847,1.1060699999999999,1.10772,89901,16,0
44,1425513600,1.10771,1.11136,1.09867,1.10285,108924,16,0
45,1425600000,1.10265,1.10321,1.08385,1.08453,110748,16,0
46,1425772800,1.08255,1.08341,1.08254,1.08303,1006,16,0
47,1425859200,1.08302,1.09057,1.08219,1.0852,85083,16,0
48,1425945600,1.08523,1.08557,1.06665,1.06791,133609,16,0
49,1426032000,1.0679,1.07162,1.05105,1.0544,143556,16,0
50,1426118400,1.05439,1.06807,1.04933,1.06238,144142,16,0
51,1426204800,1.06234,1.0634,1.04616,1.04936,121456,15,0
52,1426377600,1.0469,1.04932,1.0469,1.04859,757,16,0
53,1426464000,1.0486,1.06186,1.04787,1.05664,104628,16,0
54,1426550400,1.05663,1.065,1.05505,1.0596700000000001,101117,16,0
55,1426636800,1.0596700000000001,1.10412,1.05792,1.08286,141414,16,0
56,1426723200,1.08285,1.09185,1.0612,1.0656,180545,16,0
57,1426809600,1.06562,1.08813,1.06546,1.08142,127290,16,0
58,1426982400,1.08372,1.08819,1.08328,1.08673,2143,16,0
59,1427068800,1.08674,1.09705,1.07666,1.09445,154358,16,0
60,1427155200,1.09448,1.10284,1.08897,1.09181,142553,16,0
61,1427241600,1.09181,1.10138,1.08998,1.0971,121202,16,0
62,1427328000,1.09716,1.10515,1.08557,1.0874,139732,16,0
63,1427414400,1.0874,1.09481,1.08003,1.0890900000000001,132702,16,0
64,1427673600,1.08847,1.08944,1.08091,1.08319,111748,16,0
65,1427760000,1.08307,1.08446,1.07122,1.0731,122086,16,0
66,1427846400,1.07309,1.07989,1.07178,1.07624,126583,16,0
67,1427932800,1.07615,1.09045,1.07496,1.08794,114934,16,0
68,1428019200,1.08789,1.10263,1.08632,1.09726,63318,15,0
69,1428278400,1.10001,1.10349,1.09089,1.09217,69579,16,0
70,1428364800,1.09216,1.09541,1.08025,1.08141,118365,16,0
71,1428451200,1.08137,1.08868,1.07625,1.07794,129962,16,0
72,1428537600,1.07794,1.07879,1.06369,1.06583,118124,16,0
73,1428624000,1.06584,1.06829,1.05671,1.06031,116625,16,0
74,1428883200,1.0584,1.06185,1.05196,1.0566,123379,16,0
75,1428969600,1.05662,1.07066,1.05306,1.06537,123975,16,0
76,1429056000,1.06532,1.07015,1.057,1.06832,142655,16,0
77,1429142400,1.06837,1.0817,1.06237,1.07601,167238,16,0
78,1429228800,1.07606,1.0848200000000001,1.0733,1.08033,149481,16,0
79,1429488000,1.08173,1.082,1.07113,1.07365,118941,16,0
80,1429574400,1.07365,1.07806,1.0659,1.07347,119528,16,0
81,1429660800,1.07347,1.08,1.07077,1.0724,126950,16,0
82,1429747200,1.07242,1.08452,1.06653,1.08233,137938,16,0
83,1429833600,1.08234,1.08992,1.07839,1.0872,134418,16,0
84,1430092800,1.0863,1.0925799999999999,1.08185,1.08906,115804,16,0
85,1430179200,1.08905,1.09901,1.08591,1.09801,127905,16,0
86,1430265600,1.09801,1.11871,1.09588,1.11275,155789,16,0
87,1430352000,1.11276,1.12655,1.10705,1.1223,165172,16,0
88,1430438400,1.12234,1.12894,1.11737,1.11958,117238,16,0
89,1430697600,1.11905,1.12239,1.11219,1.1145,104747,16,0
90,1430784000,1.11443,1.12223,1.10655,1.11846,123280,16,0
91,1430870400,1.11842,1.13693,1.11741,1.1346,148440,16,0
92,1430956800,1.13461,1.1391,1.12365,1.12656,149025,16,0
93,1431043200,1.12652,1.12888,1.11783,1.12091,148704,16,0
94,1431302400,1.11966,1.12056,1.11302,1.11539,116762,16,0
95,1431388800,1.11544,1.12781,1.11337,1.12118,118407,16,0
96,1431475200,1.12122,1.1381999999999999,1.12018,1.13535,124671,16,0
97,1431561600,1.13532,1.1444,1.13399,1.14086,129791,16,0
98,1431648000,1.14086,1.14662,1.13231,1.14455,127334,16,0
99,1431907200,1.14455,1.1449,1.12979,1.13141,111822,16,0
100,1431993600,1.13142,1.13256,1.1118,1.11488,134001,16,0
101,1432080000,1.11489,1.11514,1.10615,1.10928,146873,16,0
102,1432166400,1.10923,1.11805,1.10792,1.11107,132857,16,0
103,1432252800,1.11108,1.12076,1.10013,1.10103,128886,16,0
104,1432512000,1.10008,1.1009,1.09582,1.09771,60669,16,0
105,1432598400,1.09765,1.09808,1.08625,1.08716,140316,16,0
106,1432684800,1.08735,1.09284,1.08183,1.09032,134762,16,0
107,1432771200,1.0903100000000001,1.09581,1.08664,1.09478,150847,16,0
108,1432857600,1.09483,1.10055,1.0925,1.09926,133971,16,0
109,1433116800,1.09796,1.09884,1.08863,1.0925799999999999,131635,16,0
110,1433203200,1.0926,1.11937,1.0915300000000001,1.11496,154147,16,0
111,1433289600,1.115,1.1284399999999999,1.10786,1.12732,147393,16,0
112,1433376000,1.12731,1.13791,1.12228,1.12371,144237,16,0
113,1433462400,1.12369,1.12794,1.10486,1.11136,155177,16,0
114,1433721600,1.10957,1.13063,1.10834,1.1290499999999999,130194,16,0
115,1433808000,1.1290499999999999,1.13448,1.12133,1.12815,145983,16,0
116,1433894400,1.12819,1.13857,1.12592,1.13228,163226,16,0
117,1433980800,1.13226,1.13308,1.11813,1.1256599999999999,137836,16,0
118,1434067200,1.12568,1.12957,1.11504,1.12633,140183,16,0
119,1434326400,1.121,1.12937,1.11885,1.12819,126760,16,0
120,1434412800,1.12828,1.1329,1.12041,1.12467,112891,16,0
121,1434499200,1.12467,1.13571,1.12044,1.13364,131887,16,0
122,1434585600,1.1335600000000001,1.14354,1.13296,1.13571,141630,16,0
123,1434672000,1.13571,1.13959,1.12912,1.13466,109906,16,0
124,1434931200,1.13757,1.14097,1.13109,1.13395,116288,16,0
125,1435017600,1.13399,1.13467,1.11343,1.11667,131710,16,0
126,1435104000,1.11665,1.12338,1.11543,1.12031,127963,16,0
127,1435190400,1.12055,1.12271,1.11529,1.12026,108585,16,0
128,1435276800,1.12026,1.1219,1.11292,1.11704,103104,16,0
