,Date,Time,Open,High,Low,Close,Volume
0,2016.10.26,00:00,1274.37,1276.36,1264.62,1266.44,65692
1,2016.10.27,00:00,1266.33,1272.66,1264.97,1269.51,70197
2,2016.10.28,00:00,1269.41,1284.06,1261.29,1275.22,82906
3,2016.10.30,00:00,1277.41,1279.34,1276.26,1278.68,2021
4,2016.10.31,00:00,1278.75,1279.44,1271.11,1276.07,73775
5,2016.11.01,00:00,1276.06,1291.76,1275.55,1287.67,68156
6,2016.11.02,00:00,1287.65,1307.9,1287.28,1298.38,105774
7,2016.11.03,00:00,1298.19,1306.58,1285.53,1301.97,95516
8,2016.11.04,00:00,1302.01,1307.03,1294.66,1303.93,71624
9,2016.11.06,00:00,1292.3,1294.18,1287.69,1289.23,4222
10,2016.11.07,00:00,1289.31,1295.69,1278.08,1282.36,93985
11,2016.11.08,00:00,1282.45,1290.62,1268.1,1273.12,86958
12,2016.11.09,00:00,1273.0,1337.23,1268.69,1276.29,180296
13,2016.11.10,00:00,1276.0,1292.1,1252.25,1260.67,115239
14,2016.11.11,00:00,1260.96,1265.27,1219.0,1226.84,117281
15,2016.11.13,00:00,1227.19,1231.21,1226.91,1229.68,2722
16,2016.11.14,00:00,1229.97,1230.27,1211.45,1223.52,112635
17,2016.11.15,00:00,1223.54,1231.38,1218.81,1226.95,105912
18,2016.11.16,00:00,1226.71,1232.93,1221.34,1226.69,100528
19,2016.11.17,00:00,1226.66,1231.32,1210.97,1214.7,106092
20,2016.11.18,00:00,1214.66,1216.01,1202.68,1207.52,100580
21,2016.11.20,00:00,1207.66,1208.11,1205.45,1206.15,1783
22,2016.11.21,00:00,1206.4,1217.45,1206.4,1215.99,87330
23,2016.11.22,00:00,1215.84,1220.94,1206.02,1212.84,82334
24,2016.11.23,00:00,1212.67,1214.86,1181.62,1189.52,85630
25,2016.11.24,00:00,1189.48,1190.76,1180.26,1186.04,56574
26,2016.11.25,00:00,1186.07,1193.14,1171.01,1183.88,75027
27,2016.11.27,00:00,1184.65,1186.96,1182.55,1186.75,1928
28,2016.11.28,00:00,1186.7,1197.53,1182.93,1194.62,97389
29,2016.11.29,00:00,1194.51,1194.9,1180.96,1188.67,99490
30,2016.11.30,00:00,1188.7,1194.82,1170.62,1172.33,102506
31,2016.12.01,00:00,1172.2,1176.64,1160.64,1173.34,103167
32,2016.12.02,00:00,1173.14,1177.95,1166.62,1176.27,88356
33,2016.12.04,00:00,1180.36,1187.91,1177.74,1180.21,4471
34,2016.12.05,00:00,1180.24,1181.35,1157.03,1170.04,119874
