,time,open,high,low,close,tick_volume,spread,real_volume
0,1420048800,1.20997,1.21089,1.20966,1.20999,3237,17,0
1,1420185600,1.20481,1.20569,1.20479,1.20538,1254,17,0
2,1420189200,1.20537,1.20574,1.20341,1.20553,3394,17,0
3,1420192800,1.20556,1.20689,1.20442,1.20469,4590,17,0
4,1420196400,1.20468,1.20599,1.2038,1.20573,4335,17,0
5,1420200000,1.20573,1.20573,1.20415,1.20501,2731,17,0
6,1420203600,1.20501,1.20576,1.2044,1.20534,2676,17,0
7,1420207200,1.20534,1.20543,1.20345,1.20374,2650,17,0
8,1420210800,1.2037499999999999,1.20435,1.20248,1.20303,3245,17,0
9,1420214400,1.20302,1.20329,1.20079,1.20143,4022,17,0
10,1420218000,1.20145,1.2031399999999999,1.20111,1.20306,5969,17,0
11,1420221600,1.20305,1.20312,1.20068,1.20129,4016,17,0
12,1420225200,1.20128,1.20152,1.20031,1.2009,2207,17,0
13,1420228800,1.20093,1.20149,1.20072,1.20115,1400,17,0
14,1420232400,1.20112,1.20113,1.20037,1.20049,1479,17,0
15,1420236000,1.20048,1.20081,1.20008,1.20028,1918,17,0
16,1420239600,1.20027,1.20054,1.19993,1.20002,1023,17,0
17,1420416000,1.1951100000000001,1.19535,1.1859899999999999,1.19451,3600,17,0
18,1420419600,1.19451,1.19489,1.19295,1.19461,3416,17,0
19,1420423200,1.19461,1.19754,1.1945999999999999,1.19621,4614,17,0
20,1420426800,1.19622,1.19724,1.19505,1.19539,3590,17,0
21,1420430400,1.19539,1.19646,1.19538,1.19554,2222,17,0
22,1420434000,1.19553,1.1956,1.19432,1.19432,2262,17,0
23,1420437600,1.19433,1.19444,1.1935,1.19403,1924,17,0
24,1420441200,1.19404,1.1944,1.1925,1.19344,2229,17,0
25,1420444800,1.19343,1.19468,1.19302,1.19467,2586,17,0
26,1420448400,1.19467,1.19601,1.19396,1.1956,4164,17,0
27,1420452000,1.1954799999999999,1.19756,1.19507,1.19546,5759,17,0
28,1420455600,1.19549,1.196,1.1942599999999999,1.19538,4856,17,0
29,1420459200,1.19537,1.19565,1.19135,1.19197,5287,17,0
30,1420462800,1.19197,1.19244,1.18994,1.19045,4720,17,0
31,1420466400,1.19045,1.19188,1.18864,1.18992,5341,17,0
32,1420470000,1.18991,1.19278,1.1892,1.1912,6090,17,0
33,1420473600,1.19124,1.1935,1.19079,1.19333,6075,17,0
34,1420477200,1.19333,1.19409,1.19163,1.19359,5847,17,0
35,1420480800,1.19356,1.1939,1.19147,1.1917,3975,17,0
36,1420484400,1.19171,1.1928,1.19117,1.19226,2712,17,0
37,1420488000,1.19224,1.1933799999999999,1.1914,1.19335,2439,17,0
38,1420491600,1.1934,1.19395,1.19329,1.19382,1930,17,0
39,1420495200,1.19381,1.1949,1.19358,1.19358,1921,17,0
40,1420498800,1.1936,1.19384,1.19317,1.19322,1087,17,0
41,1420502400,1.19323,1.19352,1.1926,1.19321,904,17,0
42,1420506000,1.19318,1.1939899999999999,1.19306,1.19366,1204,17,0
43,1420509600,1.19366,1.1942599999999999,1.19332,1.1942300000000001,1730,17,0
44,1420513200,1.19422,1.19456,1.19354,1.19402,1819,17,0
45,1420516800,1.19402,1.19541,1.194,1.19451,1967,17,0
46,1420520400,1.19451,1.19488,1.19398,1.19433,1407,17,0
47,1420524000,1.19434,1.19499,1.19419,1.1948,1517,17,0
48,1420527600,1.19479,1.19575,1.1945999999999999,1.19564,2234,17,0
49,1420531200,1.19564,1.1968,1.19523,1.19595,2366,17,0
50,1420534800,1.19596,1.19617,1.19407,1.19415,3317,17,0
51,1420538400,1.19415,1.19518,1.19212,1.19439,5075,17,0
52,1420542000,1.1944,1.19458,1.19042,1.19071,5516,17,0
53,1420545600,1.19071,1.19138,1.18947,1.18976,4261,17,0
54,1420549200,1.18976,1.19188,1.1887,1.18904,4869,17,0
55,1420552800,1.18905,1.19102,1.18834,1.19063,4637,17,0
56,1420556400,1.19063,1.19154,1.18947,1.19064,5340,17,0
57,1420560000,1.19067,1.19083,1.1886700000000001,1.1904,5327,17,0
58,1420563600,1.19049,1.19329,1.19049,1.19184,7189,17,0
59,1420567200,1.19183,1.19396,1.19153,1.19356,6480,17,0
60,1420570800,1.19354,1.19581,1.1920600000000001,1.19214,5953,17,0
61,1420574400,1.19215,1.1933,1.19215,1.19324,4320,17,0
62,1420578000,1.19324,1.19356,1.19112,1.19122,2868,17,0
63,1420581600,1.19122,1.1914,1.18878,1.18977,3844,17,0
64,1420585200,1.18978,1.18986,1.18866,1.18886,1535,17,0
65,1420588800,1.18889,1.18903,1.18491,1.18725,2294,17,0
66,1420592400,1.1872,1.18785,1.18689,1.18713,1679,17,0
67,1420596000,1.18715,1.18809,1.18626,1.18687,2144,17,0
68,1420599600,1.18688,1.18797,1.18673,1.18764,2030,17,0
69,1420603200,1.18762,1.18784,1.18686,1.18692,1527,17,0
70,1420606800,1.18692,1.18772,1.18658,1.18756,1581,17,0
71,1420610400,1.18754,1.18771,1.18705,1.18747,1515,17,0
72,1420614000,1.1874500000000001,1.18794,1.18731,1.18776,1521,17,0
73,1420617600,1.18774,1.18792,1.1854,1.18659,2986,17,0
74,1420621200,1.18659,1.18885,1.18621,1.18865,4658,17,0
75,1420624800,1.18865,1.18954,1.18592,1.18678,5453,17,0
76,1420628400,1.18676,1.18789,1.1851099999999999,1.1853,5165,17,0
77,1420632000,1.18535,1.18753,1.18409,1.18496,6942,17,0
78,1420635600,1.18496,1.1854,1.18181,1.18199,5698,17,0
79,1420639200,1.18198,1.18444,1.18189,1.1835499999999999,4992,17,0
80,1420642800,1.1835499999999999,1.18384,1.18182,1.18293,6295,17,0
81,1420646400,1.18292,1.18302,1.18076,1.18184,6138,17,0
82,1420650000,1.18186,1.18305,1.1801300000000001,1.1801599999999999,5864,17,0
83,1420653600,1.18017,1.18269,1.1801599999999999,1.18195,5602,17,0
84,1420657200,1.18195,1.18344,1.18166,1.18287,3228,17,0
85,1420660800,1.18286,1.18363,1.18251,1.1834,2783,17,0
86,1420664400,1.18341,1.18578,1.18076,1.18495,6763,17,0
87,1420668000,1.18493,1.18495,1.18303,1.18323,2937,17,0
88,1420671600,1.18323,1.18409,1.18323,1.18386,1542,17,0
89,1420675200,1.18381,1.18408,1.18326,1.1832799999999999,728,17,0
90,1420678800,1.18327,1.18363,1.18303,1.18327,1249,17,0
91,1420682400,1.1832799999999999,1.18466,1.18311,1.18372,2370,17,0
92,1420686000,1.18373,1.18398,1.18245,1.18248,2257,17,0
93,1420689600,1.18249,1.18265,1.1818,1.18212,1794,17,0
94,1420693200,1.18212,1.18305,1.18165,1.18263,2100,17,0
95,1420696800,1.18262,1.1828400000000001,1.18197,1.18218,1346,17,0
96,1420700400,1.18218,1.18262,1.1816200000000001,1.18204,1753,17,0
97,1420704000,1.18203,1.18234,1.1817,1.1819600000000001,1845,17,0
98,1420707600,1.18197,1.18208,1.18028,1.18193,4181,17,0
99,1420711200,1.18192,1.18219,1.17912,1.17937,4995,17,0
100,1420714800,1.17933,1.18071,1.17793,1.1780599999999999,5089,17,0
101,1420718400,1.1780599999999999,1.17855,1.17618,1.17682,5300,17,0
102,1420722000,1.17681,1.17743,1.17628,1.17722,3663,17,0
103,1420725600,1.17718,1.17784,1.17534,1.17751,4947,17,0
104,1420729200,1.17753,1.1788,1.17611,1.1786699999999999,4972,17,0
105,1420732800,1.17866,1.17982,1.17788,1.17973,5170,17,0
106,1420736400,1.17972,1.17976,1.17713,1.17915,6262,17,0
107,1420740000,1.17915,1.18136,1.17904,1.18091,5314,17,0
108,1420743600,1.1809,1.18184,1.18022,1.18164,3111,17,0
109,1420747200,1.18161,1.18163,1.17953,1.1798899999999999,2093,17,0
