,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,Time
0,0,946670400,1.0088,1.0106,1.0061,1.0062,24,50,0,2000-01-01 02:00:00
1,1,946857600,1.0073,1.019,1.0073,1.0175,670,50,0,2000-01-03 06:00:00
2,2,946872000,1.0173,1.0181,1.0154,1.0157,609,50,0,2000-01-03 10:00:00
3,3,946886400,1.0154,1.0167,1.0093,1.0115,1731,50,0,2000-01-03 14:00:00
4,4,946900800,1.0118,1.0118,1.0054,1.0073,1562,50,0,2000-01-03 18:00:00
5,5,946915200,1.0077,1.024,1.007,1.0218,1484,50,0,2000-01-03 22:00:00
6,6,946929600,1.0218,1.0278,1.0213,1.0246,586,50,0,2000-01-04 02:00:00
7,7,946944000,1.0243,1.0266,1.0233,1.0241,836,50,0,2000-01-04 06:00:00
8,8,946958400,1.0239,1.0266,1.0227,1.0241,1049,50,0,2000-01-04 10:00:00
9,9,946972800,1.0234,1.0279,1.0213,1.0276,1657,50,0,2000-01-04 14:00:00
10,10,946987200,1.0274,1.0336,1.0263,1.0326,1636,50,0,2000-01-04 18:00:00
11,11,947001600,1.0331,1.034,1.0268,1.0281,1507,50,0,2000-01-04 22:00:00
12,12,947016000,1.028,1.0314,1.0278,1.0292,654,50,0,2000-01-05 02:00:00
13,13,947030400,1.0293,1.03,1.0284,1.0292,491,50,0,2000-01-05 06:00:00
14,14,947044800,1.029,1.033,1.0286,1.0317,659,50,0,2000-01-05 10:00:00
15,15,947059200,1.0318,1.0402,1.0309,1.037,1903,50,0,2000-01-05 14:00:00
16,16,947073600,1.0366,1.0389,1.0338,1.0371,1564,50,0,2000-01-05 18:00:00
17,17,947088000,1.0369,1.0379,1.0314,1.033,1355,50,0,2000-01-05 22:00:00
18,18,947102400,1.033,1.0332,1.0301,1.0326,598,50,0,2000-01-06 02:00:00
19,19,947116800,1.0325,1.0336,1.031,1.0318,650,50,0,2000-01-06 06:00:00
20,20,947131200,1.0317,1.0382,1.0315,1.0364,1073,50,0,2000-01-06 10:00:00
21,21,947145600,1.0368,1.0368,1.0327,1.0352,1698,50,0,2000-01-06 14:00:00
22,22,947160000,1.0354,1.0415,1.0349,1.0366,1740,50,0,2000-01-06 18:00:00
23,23,947174400,1.0362,1.0368,1.0272,1.0299,1446,50,0,2000-01-06 22:00:00
24,24,947188800,1.0298,1.0334,1.029,1.033,616,50,0,2000-01-07 02:00:00
25,25,947203200,1.0329,1.0332,1.0295,1.0304,540,50,0,2000-01-07 06:00:00
26,26,947217600,1.0305,1.0324,1.0288,1.0293,787,50,0,2000-01-07 10:00:00
27,27,947232000,1.0295,1.0323,1.0283,1.0306,1504,50,0,2000-01-07 14:00:00
28,28,947246400,1.0305,1.0315,1.026,1.0288,1452,50,0,2000-01-07 18:00:00
29,29,947260800,1.0289,1.0313,1.028,1.0289,1061,50,0,2000-01-07 22:00:00
30,30,947275200,1.0286,1.03,1.0272,1.0298,345,50,0,2000-01-08 02:00:00
31,31,947462400,1.0286,1.0305,1.0274,1.0289,678,50,0,2000-01-10 06:00:00
32,32,947476800,1.029,1.0298,1.0272,1.0273,677,50,0,2000-01-10 10:00:00
33,33,947491200,1.0274,1.0282,1.0231,1.0247,1595,50,0,2000-01-10 14:00:00
34,34,947505600,1.0245,1.0249,1.0211,1.0242,1624,50,0,2000-01-10 18:00:00
35,35,947520000,1.0243,1.0275,1.0234,1.0269,1171,50,0,2000-01-10 22:00:00
36,36,947534400,1.0268,1.0271,1.0246,1.0251,452,50,0,2000-01-11 02:00:00
37,37,947548800,1.0253,1.027,1.0246,1.0259,510,50,0,2000-01-11 06:00:00
38,38,947563200,1.0258,1.0296,1.0257,1.0295,776,50,0,2000-01-11 10:00:00
39,39,947577600,1.0295,1.0318,1.0279,1.0301,1693,50,0,2000-01-11 14:00:00
40,40,947592000,1.0299,1.0308,1.0253,1.0285,1691,50,0,2000-01-11 18:00:00
41,41,947606400,1.0285,1.0335,1.0282,1.0315,1329,50,0,2000-01-11 22:00:00
42,42,947620800,1.0315,1.0341,1.0309,1.0336,638,50,0,2000-01-12 02:00:00
43,43,947635200,1.0337,1.0338,1.0319,1.0328,719,50,0,2000-01-12 06:00:00
44,44,947649600,1.0329,1.0356,1.0323,1.0332,951,50,0,2000-01-12 10:00:00
45,45,947664000,1.0331,1.037,1.0321,1.0335,1722,50,0,2000-01-12 14:00:00
46,46,947678400,1.0328,1.0338,1.0275,1.0302,1809,50,0,2000-01-12 18:00:00
47,47,947692800,1.0303,1.0313,1.0261,1.0308,1204,50,0,2000-01-12 22:00:00
48,48,947707200,1.0308,1.032,1.0306,1.0308,472,50,0,2000-01-13 02:00:00
49,49,947721600,1.0309,1.0316,1.0293,1.0304,595,50,0,2000-01-13 06:00:00
50,50,947736000,1.0302,1.0305,1.0278,1.0293,712,50,0,2000-01-13 10:00:00
51,51,947750400,1.0292,1.0308,1.0281,1.0302,1626,50,0,2000-01-13 14:00:00
52,52,947764800,1.0304,1.0305,1.0237,1.0264,1621,50,0,2000-01-13 18:00:00
53,53,947779200,1.0262,1.0281,1.0249,1.0259,1228,50,0,2000-01-13 22:00:00
54,54,947793600,1.026,1.0265,1.0252,1.026,394,50,0,2000-01-14 02:00:00
55,55,947808000,1.0261,1.0275,1.0235,1.026,632,50,0,2000-01-14 06:00:00
56,56,947822400,1.0265,1.027,1.0253,1.0255,640,50,0,2000-01-14 10:00:00
57,57,947836800,1.0253,1.0262,1.0229,1.0259,1526,50,0,2000-01-14 14:00:00
58,58,947851200,1.0258,1.0261,1.0174,1.0194,1732,50,0,2000-01-14 18:00:00
59,59,947865600,1.0189,1.0197,1.0114,1.0154,1261,50,0,2000-01-14 22:00:00
60,60,947880000,1.0154,1.0157,1.0116,1.0122,385,50,0,2000-01-15 02:00:00
61,61,948067200,1.0129,1.014,1.012,1.0134,239,50,0,2000-01-17 06:00:00
62,62,948081600,1.0136,1.0148,1.012,1.0134,434,50,0,2000-01-17 10:00:00
63,63,948096000,1.0132,1.0142,1.0096,1.0123,1689,50,0,2000-01-17 14:00:00
64,64,948110400,1.0119,1.0123,1.0069,1.0079,1616,50,0,2000-01-17 18:00:00
65,65,948124800,1.0082,1.0123,1.0071,1.0122,1245,50,0,2000-01-17 22:00:00
66,66,948139200,1.0121,1.0128,1.0107,1.0119,458,50,0,2000-01-18 02:00:00
67,67,948153600,1.0118,1.0126,1.0095,1.0103,642,50,0,2000-01-18 06:00:00
68,68,948168000,1.0099,1.0121,1.0091,1.0103,840,50,0,2000-01-18 10:00:00
69,69,948182400,1.0103,1.0142,1.0072,1.0081,1807,50,0,2000-01-18 14:00:00
70,70,948196800,1.0081,1.012,1.0072,1.0103,1684,50,0,2000-01-18 18:00:00
71,71,948211200,1.0097,1.0138,1.0091,1.0136,1269,50,0,2000-01-18 22:00:00
72,72,948225600,1.0136,1.0154,1.0107,1.0152,495,50,0,2000-01-19 02:00:00
73,73,948240000,1.0152,1.0156,1.0134,1.0141,694,50,0,2000-01-19 06:00:00
74,74,948254400,1.0139,1.0165,1.0133,1.0147,1008,50,0,2000-01-19 10:00:00
75,75,948268800,1.0145,1.0156,1.0103,1.0103,1788,50,0,2000-01-19 14:00:00
76,76,948283200,1.0102,1.0117,1.0096,1.0109,1402,50,0,2000-01-19 18:00:00
77,77,948297600,1.0109,1.0128,1.0085,1.0117,1122,50,0,2000-01-19 22:00:00
78,78,948312000,1.0118,1.0135,1.0115,1.0125,355,50,0,2000-01-20 02:00:00
79,79,948326400,1.0126,1.0127,1.0108,1.0113,564,50,0,2000-01-20 06:00:00
80,80,948340800,1.0115,1.0122,1.0105,1.0117,739,50,0,2000-01-20 10:00:00
81,81,948355200,1.0116,1.0144,1.0082,1.0095,1631,50,0,2000-01-20 14:00:00
82,82,948369600,1.0094,1.011,1.0073,1.0095,1543,50,0,2000-01-20 18:00:00
83,83,948384000,1.0096,1.0188,1.0078,1.0168,1575,50,0,2000-01-20 22:00:00
84,84,948398400,1.0175,1.0185,1.0154,1.0167,751,50,0,2000-01-21 02:00:00
85,85,948412800,1.0168,1.0178,1.0152,1.0159,781,50,0,2000-01-21 06:00:00
86,86,948427200,1.0158,1.0193,1.0155,1.0174,1469,50,0,2000-01-21 10:00:00
87,87,948441600,1.0175,1.0188,1.0136,1.0145,1931,50,0,2000-01-21 14:00:00
88,88,948456000,1.015,1.0153,1.005,1.0065,1739,50,0,2000-01-21 18:00:00
89,89,948470400,1.0067,1.0103,1.0061,1.0096,1401,50,0,2000-01-21 22:00:00
90,90,948484800,1.0095,1.0103,1.0084,1.0087,349,50,0,2000-01-22 02:00:00
91,91,948672000,1.0028,1.0054,1.0026,1.0045,376,50,0,2000-01-24 06:00:00
92,92,948686400,1.0048,1.0058,1.0017,1.0027,745,50,0,2000-01-24 10:00:00
93,93,948700800,1.0028,1.0069,1.0019,1.005,1626,50,0,2000-01-24 14:00:00
94,94,948715200,1.005,1.0061,0.9997,1.0021,1682,50,0,2000-01-24 18:00:00
95,95,948729600,1.0022,1.0042,1.0007,1.0029,1436,50,0,2000-01-24 22:00:00
96,96,948744000,1.0027,1.0077,1.0017,1.0071,530,50,0,2000-01-25 02:00:00
97,97,948758400,1.007,1.0075,1.0057,1.0069,325,50,0,2000-01-25 06:00:00
98,98,948772800,1.0072,1.0096,1.007,1.0083,705,50,0,2000-01-25 10:00:00
99,99,948787200,1.0083,1.0092,1.0032,1.0034,1525,50,0,2000-01-25 14:00:00
100,100,948801600,1.0035,1.0054,0.9992,1.0039,1651,50,0,2000-01-25 18:00:00
101,101,948816000,1.0043,1.0072,1.0031,1.0038,1219,50,0,2000-01-25 22:00:00
102,102,948830400,1.0037,1.004,1.0001,1.0012,534,50,0,2000-01-26 02:00:00
103,103,948844800,1.0012,1.0035,1.0009,1.0022,776,50,0,2000-01-26 06:00:00
104,104,948859200,1.0025,1.0029,1.0014,1.0022,879,50,0,2000-01-26 10:00:00
105,105,948873600,1.0022,1.0055,1.0001,1.0031,1758,50,0,2000-01-26 14:00:00
106,106,948888000,1.0029,1.0034,1.0007,1.0015,1583,50,0,2000-01-26 18:00:00
107,107,948902400,1.0013,1.0022,1.0,1.0006,1456,50,0,2000-01-26 22:00:00
108,108,948916800,1.0005,1.0021,0.9995,1.0003,694,50,0,2000-01-27 02:00:00
109,109,948931200,1.0007,1.001,0.9989,1.0004,873,50,0,2000-01-27 06:00:00
110,110,948945600,1.0006,1.0015,0.9997,1.0013,890,50,0,2000-01-27 10:00:00
111,111,948960000,1.0011,1.003,0.9994,1.0005,1801,50,0,2000-01-27 14:00:00
112,112,948974400,1.0006,1.0016,0.9906,0.9918,1912,50,0,2000-01-27 18:00:00
113,113,948988800,0.9918,0.992,0.9868,0.988,1395,50,0,2000-01-27 22:00:00
114,114,949003200,0.9883,0.9892,0.9872,0.9882,410,50,0,2000-01-28 02:00:00
115,115,949017600,0.9883,0.9895,0.9864,0.9873,563,50,0,2000-01-28 06:00:00
116,116,949032000,0.9874,0.9892,0.9866,0.9887,623,50,0,2000-01-28 10:00:00
117,117,949046400,0.9883,0.9888,0.9831,0.9857,1704,50,0,2000-01-28 14:00:00
118,118,949060800,0.9853,0.987,0.9836,0.9846,1694,50,0,2000-01-28 18:00:00
119,119,949075200,0.9842,0.9852,0.9736,0.9771,1659,50,0,2000-01-28 22:00:00
120,120,949089600,0.9769,0.9785,0.9744,0.9749,643,50,0,2000-01-29 02:00:00
121,121,949276800,0.9773,0.9805,0.9772,0.9793,432,50,0,2000-01-31 06:00:00
122,122,949291200,0.9795,0.9822,0.9793,0.98,668,50,0,2000-01-31 10:00:00
123,123,949305600,0.9802,0.982,0.9784,0.9817,1667,50,0,2000-01-31 14:00:00
124,124,949320000,0.9816,0.9829,0.9785,0.9794,1607,50,0,2000-01-31 18:00:00
125,125,949334400,0.9795,0.9804,0.9677,0.9698,1366,50,0,2000-01-31 22:00:00
126,126,949348800,0.9699,0.9714,0.9667,0.9711,581,50,0,2000-02-01 02:00:00
127,127,949363200,0.9711,0.9718,0.9698,0.9707,512,50,0,2000-02-01 06:00:00
128,128,949377600,0.9704,0.9715,0.9697,0.9704,602,50,0,2000-02-01 10:00:00
129,129,949392000,0.9705,0.9712,0.9667,0.9689,1605,50,0,2000-02-01 14:00:00
130,130,949406400,0.9688,0.9765,0.9683,0.9743,1856,50,0,2000-02-01 18:00:00
131,131,949420800,0.9742,0.9782,0.969,0.9716,1468,50,0,2000-02-01 22:00:00
132,132,949435200,0.9716,0.9735,0.9708,0.9713,745,50,0,2000-02-02 02:00:00
133,133,949449600,0.9713,0.9724,0.97,0.9709,531,50,0,2000-02-02 06:00:00
134,134,949464000,0.971,0.9737,0.9694,0.9734,758,50,0,2000-02-02 10:00:00
135,135,949478400,0.9737,0.975,0.9702,0.9715,1635,50,0,2000-02-02 14:00:00
136,136,949492800,0.9716,0.9733,0.97,0.9713,1559,50,0,2000-02-02 18:00:00
137,137,949507200,0.9713,0.9783,0.9695,0.9778,1403,50,0,2000-02-02 22:00:00
138,138,949521600,0.9776,0.9808,0.974,0.9765,858,50,0,2000-02-03 02:00:00
139,139,949536000,0.9767,0.9776,0.9743,0.9749,582,50,0,2000-02-03 06:00:00
140,140,949550400,0.9746,0.9752,0.972,0.9736,914,50,0,2000-02-03 10:00:00
141,141,949564800,0.9732,0.9748,0.9719,0.9733,1579,50,0,2000-02-03 14:00:00
142,142,949579200,0.9735,0.9803,0.971,0.9788,2183,50,0,2000-02-03 18:00:00
143,143,949593600,0.9789,0.9947,0.9788,0.9889,1637,50,0,2000-02-03 22:00:00
144,144,949608000,0.9888,0.9913,0.9885,0.9898,784,50,0,2000-02-04 02:00:00
145,145,949622400,0.99,0.9915,0.9883,0.989,635,50,0,2000-02-04 06:00:00
146,146,949636800,0.9892,0.9908,0.9885,0.9898,624,50,0,2000-02-04 10:00:00
147,147,949651200,0.9893,0.994,0.9863,0.9874,2206,50,0,2000-02-04 14:00:00
