,time,open,high,low,close,tick_volume,spread,real_volume
0,1684108800,1.08608,1.08608,1.085,1.08533,101,22,0
1,1684110600,1.0853,1.08544,1.08521,1.08522,84,29,0
2,1684112400,1.0852,1.0852,1.08446,1.08498,623,16,0
3,1684114200,1.08498,1.0852,1.08489,1.08491,443,17,0
4,1684116000,1.0849199999999999,1.08512,1.08469,1.08509,451,16,0
5,1684117800,1.08509,1.08523,1.08487,1.08519,269,16,0
6,1684119600,1.08518,1.08547,1.08488,1.085,578,16,0
7,1684121400,1.085,1.08527,1.08473,1.08522,825,16,0
8,1684123200,1.08523,1.086,1.08515,1.08588,902,16,0
9,1684125000,1.08588,1.08636,1.08572,1.08623,858,16,0
10,1684126800,1.08623,1.08623,1.0854300000000001,1.08564,556,16,0
11,1684128600,1.08563,1.08575,1.08544,1.08545,499,16,0
12,1684130400,1.08544,1.086,1.0854,1.08596,397,16,0
13,1684132200,1.08595,1.08613,1.08575,1.08591,425,16,0
14,1684134000,1.08591,1.0861,1.08564,1.0860400000000001,378,16,0
15,1684135800,1.08603,1.08626,1.08574,1.08623,334,16,0
16,1684137600,1.08621,1.0866500000000001,1.08609,1.08654,618,16,0
17,1684139400,1.08656,1.08684,1.08634,1.08666,761,16,0
18,1684141200,1.0866500000000001,1.08711,1.08643,1.08644,1353,16,0
19,1684143000,1.08644,1.08692,1.08593,1.08688,908,16,0
20,1684144800,1.08687,1.08711,1.08638,1.08711,1428,16,0
21,1684146600,1.08712,1.08762,1.08701,1.08732,1304,16,0
22,1684148400,1.0873,1.08792,1.08705,1.08739,1304,16,0
23,1684150200,1.0874,1.08772,1.08652,1.08676,1242,16,0
24,1684152000,1.08678,1.08678,1.08547,1.0859,1488,16,0
25,1684153800,1.08591,1.08689,1.08589,1.0868,1194,16,0
26,1684155600,1.0868,1.08732,1.08658,1.08727,1159,16,0
27,1684157400,1.08728,1.08783,1.08708,1.08771,1143,16,0
28,1684159200,1.08772,1.08782,1.08727,1.08762,879,16,0
29,1684161000,1.08761,1.08796,1.08725,1.08767,1275,16,0
30,1684162800,1.08768,1.0878700000000001,1.0873,1.08763,1032,16,0
31,1684164600,1.08782,1.089,1.08728,1.08782,2596,16,0
32,1684166400,1.08781,1.08803,1.08733,1.08781,1629,16,0
33,1684168200,1.08782,1.08811,1.08717,1.08785,1633,16,0
34,1684170000,1.08786,1.08808,1.08667,1.08719,1736,16,0
35,1684171800,1.08717,1.08759,1.08637,1.08639,1633,16,0
