,Open,High,Low,Close,Volume,Time,Date,Signal
30000,1.11598,1.11599,1.1147,1.11488,1187,11/1/2019 11:00,11/1/2019 11:00,0
30001,1.11489,1.11493,1.11391,1.11474,1141,11/1/2019 12:00,11/1/2019 12:00,0
30002,1.11474,1.1157,1.11456,1.11547,1607,11/1/2019 13:00,11/1/2019 13:00,0
30003,1.11547,1.11566,1.11275,1.11304,3093,11/1/2019 14:00,11/1/2019 14:00,0
30004,1.11308,1.11528,1.11304,1.11461,2237,11/1/2019 15:00,11/1/2019 15:00,0
30005,1.11466,1.11678,1.11466,1.11647,3476,11/1/2019 16:00,11/1/2019 16:00,0
30006,1.11648,1.1171,1.11614,1.11677,2290,11/1/2019 17:00,11/1/2019 17:00,0
30007,1.11679,1.11701,1.11615,1.11674,1627,11/1/2019 18:00,11/1/2019 18:00,0
30008,1.11675,1.11682,1.11604,1.1161,1128,11/1/2019 19:00,11/1/2019 19:00,0
30009,1.11611,1.11655,1.1158,1.11628,1090,11/1/2019 20:00,11/1/2019 20:00,0
30010,1.11627,1.1169,1.11623,1.11685,836,11/1/2019 21:00,11/1/2019 21:00,0
30011,1.11686,1.11686,1.11598,1.11642,619,11/1/2019 22:00,11/1/2019 22:00,0
30012,1.11665,1.11683,1.11638,1.11642,273,11/4/2019 0:00,11/4/2019 0:00,0
30013,1.11642,1.11665,1.11633,1.11654,514,11/4/2019 1:00,11/4/2019 1:00,0
30014,1.11654,1.11659,1.11588,1.11594,460,11/4/2019 2:00,11/4/2019 2:00,0
30015,1.11597,1.11675,1.11597,1.11664,471,11/4/2019 3:00,11/4/2019 3:00,0
30016,1.11664,1.11714,1.11652,1.11705,495,11/4/2019 4:00,11/4/2019 4:00,0
30017,1.11705,1.1173,1.11685,1.11685,490,11/4/2019 5:00,11/4/2019 5:00,0
30018,1.11685,1.11703,1.11683,1.11687,427,11/4/2019 6:00,11/4/2019 6:00,0
30019,1.11687,1.11687,1.11645,1.1167,333,11/4/2019 7:00,11/4/2019 7:00,0
30020,1.11669,1.11701,1.11655,1.11676,442,11/4/2019 8:00,11/4/2019 8:00,0
30021,1.11676,1.11746,1.11651,1.11727,1636,11/4/2019 9:00,11/4/2019 9:00,0
30022,1.11724,1.11724,1.11486,1.11616,2742,11/4/2019 10:00,11/4/2019 10:00,0
30023,1.11614,1.11677,1.11568,1.11642,1854,11/4/2019 11:00,11/4/2019 11:00,-1
30024,1.11642,1.11653,1.1154,1.11625,1408,11/4/2019 12:00,11/4/2019 12:00,0
30025,1.11625,1.11646,1.11589,1.1164,1135,11/4/2019 13:00,11/4/2019 13:00,0
30026,1.1164,1.11694,1.11549,1.1159,1409,11/4/2019 14:00,11/4/2019 14:00,0
30027,1.11584,1.11587,1.11515,1.11553,1573,11/4/2019 15:00,11/4/2019 15:00,0
30028,1.11555,1.11557,1.11471,1.11471,1592,11/4/2019 16:00,11/4/2019 16:00,0
30029,1.11471,1.11562,1.11463,1.1154,1815,11/4/2019 17:00,11/4/2019 17:00,0
30030,1.11539,1.1156,1.11393,1.11435,1725,11/4/2019 18:00,11/4/2019 18:00,0
30031,1.11434,1.11451,1.114,1.11404,779,11/4/2019 19:00,11/4/2019 19:00,0
30032,1.11406,1.11421,1.11305,1.11339,908,11/4/2019 20:00,11/4/2019 20:00,0
30033,1.11339,1.11345,1.11246,1.11266,887,11/4/2019 21:00,11/4/2019 21:00,0
30034,1.11263,1.11285,1.1124,1.11273,1011,11/4/2019 22:00,11/4/2019 22:00,0
30035,1.11275,1.11298,1.1126,1.11261,551,11/4/2019 23:00,11/4/2019 23:00,0
30036,1.11261,1.11278,1.11209,1.11213,569,11/5/2019 0:00,11/5/2019 0:00,0
30037,1.11213,1.11276,1.11213,1.11272,1030,11/5/2019 1:00,11/5/2019 1:00,0
30038,1.1127,1.11303,1.11264,1.1129,621,11/5/2019 2:00,11/5/2019 2:00,0
30039,1.11289,1.11296,1.11246,1.11248,682,11/5/2019 3:00,11/5/2019 3:00,0
30040,1.11248,1.1127,1.11212,1.1122,642,11/5/2019 4:00,11/5/2019 4:00,0
30041,1.1122,1.11243,1.11118,1.11227,945,11/5/2019 5:00,11/5/2019 5:00,0
30042,1.11224,1.11251,1.11202,1.11231,673,11/5/2019 6:00,11/5/2019 6:00,0
30043,1.11231,1.11275,1.11229,1.11271,592,11/5/2019 7:00,11/5/2019 7:00,0
30044,1.11271,1.1128,1.11244,1.11268,550,11/5/2019 8:00,11/5/2019 8:00,0
30045,1.11271,1.11377,1.1127,1.1134,1816,11/5/2019 9:00,11/5/2019 9:00,0
30046,1.1134,1.11394,1.11294,1.11325,1978,11/5/2019 10:00,11/5/2019 10:00,0
30047,1.11325,1.11336,1.11235,1.11285,1875,11/5/2019 11:00,11/5/2019 11:00,0
30048,1.11285,1.11305,1.11199,1.1121,1644,11/5/2019 12:00,11/5/2019 12:00,0
30049,1.11207,1.11241,1.11134,1.11164,1782,11/5/2019 13:00,11/5/2019 13:00,0
30050,1.11164,1.11167,1.11043,1.11083,2088,11/5/2019 14:00,11/5/2019 14:00,0
30051,1.11085,1.11105,1.10946,1.10985,1892,11/5/2019 15:00,11/5/2019 15:00,0
30052,1.10986,1.1099,1.10853,1.10878,2137,11/5/2019 16:00,11/5/2019 16:00,0
30053,1.10814,1.10838,1.10655,1.10715,3818,11/5/2019 17:00,11/5/2019 17:00,0
30054,1.10714,1.1075,1.10631,1.10689,2179,11/5/2019 18:00,11/5/2019 18:00,0
30055,1.10689,1.10727,1.10659,1.10671,1419,11/5/2019 19:00,11/5/2019 19:00,0
30056,1.10671,1.10745,1.10638,1.10673,1346,11/5/2019 20:00,11/5/2019 20:00,0
30057,1.10673,1.10693,1.10627,1.1064,1089,11/5/2019 21:00,11/5/2019 21:00,0
30058,1.1064,1.10733,1.10635,1.10706,987,11/5/2019 22:00,11/5/2019 22:00,0
30059,1.10706,1.10738,1.10706,1.10734,556,11/5/2019 23:00,11/5/2019 23:00,0
30060,1.10734,1.10745,1.10715,1.10742,320,11/6/2019 0:00,11/6/2019 0:00,0
30061,1.10737,1.10746,1.10724,1.10732,407,11/6/2019 1:00,11/6/2019 1:00,0
30062,1.10733,1.10733,1.10659,1.10672,803,11/6/2019 2:00,11/6/2019 2:00,0
30063,1.10672,1.1075,1.1067,1.10745,867,11/6/2019 3:00,11/6/2019 3:00,0
30064,1.10745,1.10768,1.10732,1.10767,533,11/6/2019 4:00,11/6/2019 4:00,0
30065,1.10767,1.10791,1.10753,1.10754,433,11/6/2019 5:00,11/6/2019 5:00,0
30066,1.10754,1.10756,1.10694,1.107,401,11/6/2019 6:00,11/6/2019 6:00,0
30067,1.10697,1.1075,1.10689,1.1075,461,11/6/2019 7:00,11/6/2019 7:00,0
30068,1.10752,1.10777,1.10731,1.10749,701,11/6/2019 8:00,11/6/2019 8:00,0
30069,1.10748,1.10797,1.10714,1.10785,1554,11/6/2019 9:00,11/6/2019 9:00,0
30070,1.10785,1.10895,1.10752,1.10871,1969,11/6/2019 10:00,11/6/2019 10:00,0
30071,1.10875,1.1092,1.10855,1.10905,1586,11/6/2019 11:00,11/6/2019 11:00,0
30072,1.10905,1.10914,1.10866,1.10888,1242,11/6/2019 12:00,11/6/2019 12:00,0
30073,1.10888,1.1089,1.10805,1.10814,956,11/6/2019 13:00,11/6/2019 13:00,0
30074,1.10813,1.109,1.10764,1.10888,1379,11/6/2019 14:00,11/6/2019 14:00,0
30075,1.10886,1.10911,1.10863,1.10872,1395,11/6/2019 15:00,11/6/2019 15:00,0
30076,1.10872,1.10877,1.10779,1.10815,1671,11/6/2019 16:00,11/6/2019 16:00,0
30077,1.10816,1.10851,1.10721,1.10731,2019,11/6/2019 17:00,11/6/2019 17:00,0
30078,1.10731,1.10785,1.10663,1.10745,2086,11/6/2019 18:00,11/6/2019 18:00,0
30079,1.10745,1.10765,1.10644,1.10652,1510,11/6/2019 19:00,11/6/2019 19:00,0
30080,1.10652,1.10699,1.10649,1.10669,1185,11/6/2019 20:00,11/6/2019 20:00,0
30081,1.10669,1.10704,1.10643,1.10668,1053,11/6/2019 21:00,11/6/2019 21:00,0
30082,1.10666,1.10726,1.1066,1.10683,806,11/6/2019 22:00,11/6/2019 22:00,0
30083,1.10684,1.1069,1.10646,1.10646,559,11/6/2019 23:00,11/6/2019 23:00,0
30084,1.10645,1.10704,1.10645,1.10667,478,11/7/2019 0:00,11/7/2019 0:00,0
30085,1.10666,1.10698,1.10666,1.10693,379,11/7/2019 1:00,11/7/2019 1:00,0
30086,1.10693,1.107,1.1065,1.10671,709,11/7/2019 2:00,11/7/2019 2:00,0
30087,1.10672,1.10692,1.10627,1.10637,754,11/7/2019 3:00,11/7/2019 3:00,0
30088,1.10637,1.10648,1.10561,1.10606,856,11/7/2019 4:00,11/7/2019 4:00,0
30089,1.10606,1.10607,1.10541,1.10579,871,11/7/2019 5:00,11/7/2019 5:00,0
30090,1.10579,1.106,1.10571,1.1058,280,11/7/2019 6:00,11/7/2019 6:00,0
30091,1.1058,1.10606,1.10578,1.10598,559,11/7/2019 7:00,11/7/2019 7:00,0
30092,1.10599,1.1062,1.10574,1.10587,526,11/7/2019 8:00,11/7/2019 8:00,0
30093,1.10593,1.108,1.10578,1.10753,3025,11/7/2019 9:00,11/7/2019 9:00,0
30094,1.10752,1.1083,1.10695,1.10823,2546,11/7/2019 10:00,11/7/2019 10:00,0
30095,1.10823,1.10827,1.10739,1.1077,2072,11/7/2019 11:00,11/7/2019 11:00,0
30096,1.10772,1.10907,1.10766,1.10879,2272,11/7/2019 12:00,11/7/2019 12:00,0
30097,1.10879,1.10903,1.10785,1.10785,2059,11/7/2019 13:00,11/7/2019 13:00,0
30098,1.10787,1.10826,1.10676,1.10757,2760,11/7/2019 14:00,11/7/2019 14:00,0
30099,1.10757,1.10816,1.10645,1.10663,1847,11/7/2019 15:00,11/7/2019 15:00,0
30100,1.10664,1.10686,1.10607,1.10627,2052,11/7/2019 16:00,11/7/2019 16:00,0
30101,1.10627,1.10629,1.10353,1.10457,3046,11/7/2019 17:00,11/7/2019 17:00,0
30102,1.10456,1.10488,1.10396,1.10439,2604,11/7/2019 18:00,11/7/2019 18:00,0
30103,1.10438,1.10476,1.10353,1.10399,2330,11/7/2019 19:00,11/7/2019 19:00,0
30104,1.10398,1.10483,1.10376,1.10448,1660,11/7/2019 20:00,11/7/2019 20:00,0
30105,1.10448,1.10528,1.10443,1.10462,1581,11/7/2019 21:00,11/7/2019 21:00,0
30106,1.10462,1.10504,1.10427,1.1045,1396,11/7/2019 22:00,11/7/2019 22:00,0
30107,1.10451,1.10511,1.10451,1.10489,529,11/7/2019 23:00,11/7/2019 23:00,0
30108,1.1048,1.10494,1.10474,1.10481,347,11/8/2019 0:00,11/8/2019 0:00,0
30109,1.10481,1.10518,1.1045,1.10515,852,11/8/2019 1:00,11/8/2019 1:00,0
30110,1.10514,1.10518,1.10466,1.10467,1125,11/8/2019 2:00,11/8/2019 2:00,0
30111,1.10465,1.10524,1.10451,1.10508,826,11/8/2019 3:00,11/8/2019 3:00,0
30112,1.10508,1.10534,1.10493,1.10526,560,11/8/2019 4:00,11/8/2019 4:00,0
30113,1.10526,1.10526,1.10508,1.10512,455,11/8/2019 5:00,11/8/2019 5:00,0
30114,1.10512,1.10514,1.1046,1.10466,316,11/8/2019 6:00,11/8/2019 6:00,0
30115,1.10466,1.10517,1.10462,1.10515,494,11/8/2019 7:00,11/8/2019 7:00,0
30116,1.10513,1.10527,1.10476,1.10509,652,11/8/2019 8:00,11/8/2019 8:00,0
30117,1.10508,1.10526,1.10442,1.1047,1799,11/8/2019 9:00,11/8/2019 9:00,0
30118,1.10475,1.10545,1.10431,1.10492,1713,11/8/2019 10:00,11/8/2019 10:00,0
30119,1.10492,1.10507,1.10372,1.10376,1512,11/8/2019 11:00,11/8/2019 11:00,0
30120,1.10375,1.1047,1.10332,1.1034,1535,11/8/2019 12:00,11/8/2019 12:00,0
30121,1.1034,1.10341,1.10251,1.10282,1456,11/8/2019 13:00,11/8/2019 13:00,0
30122,1.10281,1.10331,1.10272,1.10309,1821,11/8/2019 14:00,11/8/2019 14:00,0
30123,1.10309,1.10366,1.10296,1.10297,1770,11/8/2019 15:00,11/8/2019 15:00,0
30124,1.10297,1.1032,1.10233,1.10265,1870,11/8/2019 16:00,11/8/2019 16:00,0
30125,1.10264,1.10281,1.10186,1.10208,2843,11/8/2019 17:00,11/8/2019 17:00,0
