,time,open,high,low,close,tick_volume,spread,real_volume
0,1420048800,1.5590600000000001,1.55934,1.558,1.55864,4444,22,0
1,1420185600,1.55434,1.55498,1.5539800000000001,1.55435,1456,22,0
2,1420189200,1.55435,1.5545900000000001,1.55342,1.55384,3326,22,0
3,1420192800,1.55384,1.5546799999999998,1.5514000000000001,1.55291,5197,22,0
4,1420196400,1.55297,1.55362,1.5474999999999999,1.54785,5988,22,0
5,1420200000,1.54783,1.54794,1.54385,1.54437,4387,22,0
6,1420203600,1.5443799999999999,1.54524,1.54257,1.54373,4213,22,0
7,1420207200,1.54373,1.5441799999999999,1.54108,1.5425,4497,22,0
8,1420210800,1.5425,1.5438399999999999,1.54121,1.54157,4356,22,0
9,1420214400,1.54156,1.5418699999999999,1.53876,1.53945,4726,22,0
10,1420218000,1.53985,1.5409000000000002,1.53852,1.53871,6699,22,0
11,1420221600,1.53871,1.53906,1.53549,1.53593,5880,22,0
12,1420225200,1.53592,1.5362200000000001,1.53513,1.53575,3022,22,0
13,1420228800,1.53574,1.53574,1.53508,1.53514,2218,22,0
14,1420232400,1.53514,1.5354,1.53293,1.53342,2774,22,0
15,1420236000,1.53342,1.53396,1.5326300000000002,1.53323,2317,22,0
16,1420239600,1.53323,1.53336,1.53247,1.5325,1540,22,0
17,1420416000,1.5297800000000001,1.52979,1.51627,1.52675,3734,22,0
18,1420419600,1.52677,1.52979,1.52603,1.52832,4353,22,0
19,1420423200,1.52832,1.53183,1.52832,1.53078,3216,22,0
20,1420426800,1.53078,1.53174,1.52965,1.53016,2660,23,0
21,1420430400,1.53016,1.5303,1.52895,1.52895,1450,22,0
22,1420434000,1.5289199999999998,1.5294400000000001,1.5282900000000001,1.52873,1697,22,0
23,1420437600,1.5287199999999999,1.52912,1.52832,1.52855,1644,22,0
24,1420441200,1.52855,1.52898,1.52763,1.52847,1776,22,0
25,1420444800,1.52846,1.52857,1.52718,1.5281,1761,22,0
26,1420448400,1.5281,1.5298500000000002,1.52779,1.52901,3964,22,0
27,1420452000,1.52888,1.53182,1.52888,1.5302799999999999,6561,22,0
28,1420455600,1.53031,1.53124,1.5284499999999999,1.5305,6518,22,0
29,1420459200,1.5304799999999998,1.53063,1.52657,1.5265900000000001,5917,22,0
30,1420462800,1.5265900000000001,1.5271,1.52478,1.52522,5823,22,0
31,1420466400,1.52521,1.52532,1.52037,1.52134,6747,22,0
32,1420470000,1.52135,1.52358,1.52043,1.52069,6638,22,0
33,1420473600,1.52064,1.52331,1.52021,1.52301,7198,22,0
34,1420477200,1.5230299999999999,1.5245600000000001,1.52184,1.52387,6731,22,0
35,1420480800,1.52383,1.52427,1.52281,1.52322,5390,22,0
36,1420484400,1.52321,1.52396,1.52236,1.52251,3414,22,0
37,1420488000,1.52249,1.5247899999999999,1.5220099999999999,1.5247899999999999,3344,22,0
38,1420491600,1.52478,1.5259800000000001,1.5243600000000002,1.5253100000000002,2212,22,0
39,1420495200,1.52532,1.52694,1.52504,1.52515,2391,22,0
40,1420498800,1.5251700000000001,1.5259200000000002,1.52467,1.52473,1893,22,0
41,1420502400,1.52473,1.5253700000000001,1.52446,1.5250599999999999,1681,22,0
42,1420506000,1.52505,1.5260099999999999,1.5248599999999999,1.52559,1455,22,0
43,1420509600,1.5255999999999998,1.52643,1.5253299999999999,1.5264199999999999,2269,22,0
44,1420513200,1.52641,1.52645,1.52555,1.52596,1604,22,0
