,time,open,high,low,close,tick_volume,spread,real_volume
0,1420048800,119.883,119.929,119.738,119.852,2712,18,0
1,1420185600,120.413,120.428,120.327,120.395,1395,18,0
2,1420189200,120.395,120.498,120.377,120.43,3253,18,0
3,1420192800,120.429,120.478,120.335,120.337,4448,18,0
4,1420196400,120.335,120.419,120.303,120.401,3958,18,0
5,1420200000,120.401,120.47,120.371,120.428,2031,18,0
6,1420203600,120.428,120.486,120.427,120.473,2406,18,0
7,1420207200,120.475,120.647,120.472,120.618,2722,18,0
8,1420210800,120.618,120.645,120.545,120.598,3210,18,0
9,1420214400,120.599,120.733,120.565,120.681,4190,18,0
10,1420218000,120.676,120.676,119.992,120.185,7636,18,0
11,1420221600,120.185,120.229,119.8,120.2,5746,18,0
12,1420225200,120.2,120.381,120.141,120.226,3370,18,0
13,1420228800,120.227,120.314,120.202,120.303,2367,18,0
14,1420232400,120.303,120.387,120.29,120.332,2061,18,0
15,1420236000,120.33,120.48,120.297,120.464,2423,18,0
16,1420239600,120.464,120.525,120.433,120.459,1428,18,0
17,1420416000,120.51,120.598,120.301,120.528,3707,18,0
18,1420419600,120.528,120.568,120.366,120.386,3958,18,0
19,1420423200,120.393,120.408,119.973,120.251,6913,18,0
20,1420426800,120.251,120.417,120.118,120.393,4504,18,0
21,1420430400,120.394,120.394,120.227,120.325,2717,18,0
22,1420434000,120.328,120.592,120.303,120.587,3226,18,0
23,1420437600,120.586,120.638,120.485,120.536,2860,18,0
24,1420441200,120.535,120.598,120.349,120.397,3182,18,0
25,1420444800,120.399,120.503,120.349,120.373,3197,18,0
26,1420448400,120.374,120.468,120.302,120.363,3800,18,0
27,1420452000,120.364,120.418,120.254,120.346,5615,18,0
28,1420455600,120.347,120.386,120.123,120.205,5386,18,0
29,1420459200,120.204,120.374,120.162,120.35,5181,18,0
30,1420462800,120.351,120.426,120.229,120.264,4899,18,0
31,1420466400,120.264,120.277,120.032,120.148,5335,18,0
32,1420470000,120.148,120.172,119.748,119.817,7267,18,0
33,1420473600,119.816,119.831,119.451,119.478,8460,18,0
34,1420477200,119.477,119.66,119.367,119.577,8670,18,0
35,1420480800,119.579,119.77,119.426,119.644,6748,18,0
36,1420484400,119.645,119.777,119.548,119.603,4136,18,0
37,1420488000,119.602,119.786,119.569,119.684,3489,18,0
38,1420491600,119.686,119.69,119.488,119.525,3504,18,0
39,1420495200,119.525,119.666,119.484,119.648,3403,18,0
40,1420498800,119.649,119.649,119.565,119.628,1756,18,0
41,1420502400,119.628,119.628,119.25,119.279,2309,18,0
42,1420506000,119.278,119.481,119.278,119.414,3356,18,0
43,1420509600,119.413,119.499,119.151,119.159,4190,18,0
44,1420513200,119.159,119.442,119.155,119.438,3564,18,0
45,1420516800,119.438,119.438,119.162,119.326,3494,18,0
46,1420520400,119.326,119.376,119.241,119.284,2333,18,0
47,1420524000,119.284,119.285,119.08,119.231,3236,18,0
48,1420527600,119.231,119.231,118.876,118.95,4191,18,0
49,1420531200,118.95,119.031,118.645,118.786,4592,18,0
50,1420534800,118.787,119.161,118.776,119.157,4974,18,0
51,1420538400,119.156,119.228,118.743,118.87,6956,18,0
52,1420542000,118.872,119.0,118.705,118.828,6198,18,0
53,1420545600,118.827,118.975,118.739,118.961,4621,18,0
54,1420549200,118.961,119.334,118.954,119.307,5384,18,0
55,1420552800,119.307,119.383,119.044,119.046,5619,18,0
56,1420556400,119.046,119.122,118.892,118.994,6130,18,0
57,1420560000,118.993,119.188,118.846,118.862,7090,18,0
58,1420563600,118.855,119.056,118.6,118.7,9074,18,0
59,1420567200,118.7,118.8,118.192,118.209,9835,18,0
60,1420570800,118.21,118.474,118.044,118.472,7864,18,0
61,1420574400,118.471,118.471,118.075,118.363,6073,18,0
62,1420578000,118.362,118.641,118.235,118.615,4871,18,0
63,1420581600,118.615,118.805,118.49,118.496,6345,18,0
64,1420585200,118.496,118.605,118.351,118.383,2573,18,0
65,1420588800,118.394,118.66,118.385,118.582,3350,18,0
66,1420592400,118.581,118.688,118.495,118.652,3039,18,0
67,1420596000,118.655,118.846,118.635,118.742,3970,18,0
68,1420599600,118.742,118.999,118.725,118.993,4372,18,0
69,1420603200,118.995,119.158,118.994,119.063,3113,18,0
70,1420606800,119.064,119.097,118.881,119.007,2330,18,0
71,1420610400,119.007,119.089,118.965,119.035,2039,18,0
72,1420614000,119.037,119.063,118.796,118.862,2957,18,0
73,1420617600,118.866,119.088,118.789,119.034,2764,18,0
74,1420621200,119.034,119.245,118.911,119.062,4778,18,0
75,1420624800,119.062,119.194,118.964,119.065,5799,18,0
76,1420628400,119.067,119.094,118.688,118.824,6272,18,0
77,1420632000,118.824,119.191,118.756,119.145,7055,18,0
78,1420635600,119.147,119.158,119.006,119.128,5542,18,0
79,1420639200,119.132,119.221,119.025,119.163,5404,18,0
80,1420642800,119.164,119.539,119.15,119.399,7803,18,0
81,1420646400,119.399,119.561,119.288,119.494,7344,18,0
82,1420650000,119.493,119.641,119.4,119.437,8057,18,0
83,1420653600,119.438,119.538,119.286,119.524,7927,18,0
84,1420657200,119.524,119.567,119.423,119.479,4563,18,0
85,1420660800,119.479,119.508,119.211,119.232,4414,18,0
86,1420664400,119.238,119.524,118.84,118.934,9099,18,0
87,1420668000,118.935,119.186,118.935,119.138,5080,18,0
88,1420671600,119.138,119.253,119.063,119.243,2439,18,0
89,1420675200,119.239,119.345,119.199,119.319,1463,18,0
90,1420678800,119.31,119.403,119.241,119.272,3188,18,0
91,1420682400,119.273,119.472,119.151,119.442,4382,18,0
92,1420686000,119.441,119.707,119.363,119.682,4429,18,0
93,1420689600,119.68,119.753,119.596,119.705,3256,18,0
94,1420693200,119.704,119.809,119.607,119.676,3224,18,0
95,1420696800,119.674,119.788,119.624,119.736,2814,18,0
96,1420700400,119.735,119.742,119.627,119.696,2666,18,0
97,1420704000,119.695,119.891,119.695,119.856,3010,18,0
98,1420707600,119.857,119.956,119.775,119.797,4503,18,0
99,1420711200,119.799,119.855,119.684,119.736,5602,18,0
100,1420714800,119.738,119.828,119.667,119.743,5174,18,0
