time,open,high,low,close,tick_volume,spread,real_volume
1420185600,0.99776,0.99912,0.99602,0.99685,12564,23,0
1420200000,0.99685,0.9995,0.99679,0.99898,10127,23,0
1420214400,0.99898,1.00112,0.99877,1.00065,14730,23,0
1420228800,1.00065,1.00173,1.00022,1.00139,5707,23,0
1420416000,1.0062,1.02912,1.00317,1.00494,12866,23,0
1420430400,1.00491,1.00763,1.00405,1.00673,6883,23,0
1420444800,1.00674,1.00714,1.00333,1.00496,13787,23,0
1420459200,1.00498,1.01071,1.00478,1.0084,16562,23,0
1420473600,1.00839,1.00875,1.00602,1.00764,15104,23,0
1420488000,1.00765,1.00835,1.00532,1.00676,6735,23,0
1420502400,1.00676,1.00726,1.00556,1.00607,4968,23,0
1420516800,1.00608,1.0061,1.00483,1.00487,5156,23,0
1420531200,1.00487,1.00902,1.00401,1.00877,15367,23,0
1420545600,1.00877,1.01082,1.00787,1.00873,15919,23,0
1420560000,1.0087,1.0104,1.00424,1.00734,20469,23,0
1420574400,1.00732,1.01021,1.00605,1.00999,10981,23,0
1420588800,1.00999,1.01331,1.00992,1.01107,7464,23,0
1420603200,1.01106,1.01196,1.01087,1.01105,5045,23,0
1420617600,1.01107,1.01314,1.00938,1.01301,15450,23,0
1420632000,1.01306,1.01603,1.01111,1.01508,20417,23,0
1420646400,1.01507,1.01745,1.01463,1.01512,16992,23,0
1420660800,1.01514,1.01692,1.01257,1.01422,12293,23,0
1420675200,1.01421,1.01546,1.01355,1.01542,5668,23,0
1420689600,1.01542,1.01639,1.01501,1.0161,5943,23,0
1420704000,1.01609,1.0193,1.01575,1.01916,13985,23,0
1420718400,1.01917,1.02155,1.01859,1.01874,15749,23,0
1420732800,1.01873,1.01996,1.01609,1.01624,15460,23,0
1420747200,1.01626,1.0194,1.01625,1.01825,6970,23,0
1420761600,1.01823,1.01887,1.01676,1.01761,6010,23,0
1420776000,1.01759,1.01775,1.01642,1.01687,5953,23,0
1420790400,1.01687,1.01895,1.01605,1.0163,12874,23,0
1420804800,1.0163,1.02083,1.01488,1.01868,18761,23,0
1420819200,1.01868,1.01993,1.01369,1.01496,22656,23,0
1420833600,1.01496,1.01496,1.01378,1.01407,7212,23,0
1421020800,1.01222,1.01371,1.01168,1.01277,5712,23,0
1421035200,1.01279,1.01375,1.01236,1.01244,5774,23,0
1421049600,1.01245,1.01718,1.01166,1.01648,14423,23,0
1421064000,1.0165,1.01884,1.0154,1.01558,14646,23,0
1421078400,1.01558,1.01682,1.01373,1.01539,15917,23,0
1421092800,1.01537,1.01542,1.01369,1.01471,6732,23,0
1421107200,1.01471,1.01559,1.0135,1.01377,6036,23,0
1421121600,1.01379,1.0156,1.0125,1.01521,8186,23,0
1421136000,1.01522,1.01811,1.01315,1.01689,16297,23,0
1421150400,1.01691,1.02048,1.01668,1.02023,15949,23,0
1421164800,1.02023,1.02162,1.01763,1.01896,17175,23,0
1421179200,1.01895,1.02118,1.01866,1.01994,12250,23,0
1421193600,1.01995,1.02069,1.01913,1.01986,6969,23,0
1421208000,1.01987,1.02039,1.01806,1.0183,8622,23,0
1421222400,1.01831,1.02392,1.01664,1.02241,20853,23,0
1421236800,1.02245,1.02303,1.01368,1.01543,20881,23,0
1421251200,1.01543,1.02006,1.0142,1.01867,20645,23,0
1421265600,1.01866,1.01973,1.01825,1.01854,10065,23,0
1421280000,1.0185,1.01996,1.01821,1.0198,6849,23,0
1421294400,1.0198,1.02065,1.0187599999999999,1.02044,6127,23,0
1421308800,1.02044,1.02196,0.97334,0.97334,11974,0,0
1421323200,0.88063,0.88257,0.87273,0.87438,18842,23,0
1421337600,0.87438,0.91294,0.86978,0.89118,29893,23,0
1421352000,0.89103,0.89187,0.8209,0.83715,14694,23,0
1421366400,0.83688,0.86596,0.83688,0.85536,3103,28,0
1421380800,0.85536,0.87669,0.85227,0.87568,6169,23,0
1421395200,0.87569,0.88079,0.8614,0.87259,13235,23,0
1421409600,0.87268,0.87931,0.86694,0.87319,14512,23,0
1421424000,0.87319,0.8739,0.84484,0.85783,26731,23,0
1421438400,0.85783,0.86359,0.85319,0.85965,9214,26,0
1421625600,0.8588,0.86286,0.85749,0.85991,2951,23,0
1421640000,0.85987,0.86892,0.85987,0.86402,4619,30,0
1421654400,0.86404,0.86868,0.85397,0.86601,9538,23,0
1421668800,0.86573,0.87468,0.8644,0.87024,12844,23,0
1421683200,0.87024,0.87807,0.86826,0.87793,11014,23,0
1421697600,0.87792,0.87955,0.87709,0.87889,2187,23,0
1421712000,0.87859,0.87992,0.87687,0.87819,3780,32,0
1421726400,0.87826,0.88021,0.87711,0.87739,5126,24,0
1421740800,0.87737,0.88353,0.87214,0.87441,10411,23,0
1421755200,0.87443,0.87614,0.86848,0.86911,8836,23,0
1421769600,0.86914,0.87774,0.86832,0.87612,10287,23,0
1421784000,0.87612,0.87885,0.87404,0.87511,3929,23,0
1421798400,0.8751,0.87547,0.87228,0.87287,2725,29,0
1421812800,0.8729,0.87322,0.87157,0.87226,2601,36,0
1421827200,0.87226,0.87711,0.86412,0.86435,11430,23,0
1421841600,0.86435,0.86677,0.85753,0.85779,10548,23,0
1421856000,0.85777,0.86589,0.84981,0.86381,23036,23,0
1421870400,0.86382,0.86445,0.85778,0.85918,10539,23,0
1421884800,0.85937,0.86229,0.8581,0.86179,4881,34,0
1421899200,0.86179,0.865,0.85888,0.85977,4700,25,0
1421913600,0.85979,0.86239,0.85481,0.85801,10222,23,0
1421928000,0.85805,0.86072,0.85238,0.85938,12220,23,0
1421942400,0.85962,0.87375,0.85748,0.87056,18903,23,0
1421956800,0.87056,0.87488,0.87013,0.87024,13575,23,0
1421971200,0.86965,0.87262,0.8677,0.86853,15057,23,0
1421985600,0.86853,0.87223,0.86822,0.87129,20161,32,0
1422000000,0.87129,0.87319,0.86897,0.872,16475,23,0
1422014400,0.87211,0.87942,0.87112,0.87356,17837,23,0
1422028800,0.87355,0.87934,0.87071,0.87772,36245,23,0
1422043200,0.87772,0.88169,0.8762,0.88169,15821,23,0
1422230400,0.87852,0.88206,0.87602,0.87658,17079,25,0
1422244800,0.87658,0.88143,0.87609,0.87904,25041,23,0
1422259200,0.87905,0.88748,0.87648,0.88535,32569,23,0
1422273600,0.88532,0.89289,0.88488,0.89149,23638,23,0
1422288000,0.89147,0.90086,0.89114,0.89786,11774,23,0
1422302400,0.89795,0.90403,0.89712,0.90254,6725,23,0
1422316800,0.9025,0.9027,0.9002,0.90103,11189,23,0
1422331200,0.90104,0.90454,0.90046,0.90274,10330,23,0
1422345600,0.90275,0.91652,0.90027,0.90291,20134,23,0
1422360000,0.90288,0.90384,0.8933,0.89731,24587,23,0
1422374400,0.89726,0.90603,0.89414,0.90418,22589,23,0
1422388800,0.90417,0.90546,0.89744,0.90222,10121,23,0
1422403200,0.90215,0.9034,0.89838,0.90205,8036,23,0
1422417600,0.90205,0.90544,0.90205,0.90471,8038,31,0
1422432000,0.90471,0.90908,0.89966,0.90131,13783,23,0
1422446400,0.90133,0.90453,0.89849,0.90261,11734,23,0
1422460800,0.9026,0.90669,0.90208,0.90546,13857,23,0
1422475200,0.90547,0.90693,0.89839,0.90448,15512,23,0
1422489600,0.90448,0.91068,0.90428,0.90906,6685,23,0
1422504000,0.90907,0.91151,0.90887,0.91087,6369,23,0
1422518400,0.91089,0.91451,0.9078,0.91224,11610,23,0
1422532800,0.91219,0.9239,0.91163,0.91691,14788,23,0
1422547200,0.91689,0.9251,0.91624,0.92386,17883,23,0
1422561600,0.92387,0.92494,0.92281,0.92329,8362,23,0
1422576000,0.92322,0.9235,0.92124,0.92271,6646,23,0
1422590400,0.9227,0.92295,0.92042,0.92063,10530,23,0
1422604800,0.92063,0.92826,0.91939,0.92627,12297,23,0
1422619200,0.92617,0.92617,0.92051,0.92436,16779,23,0
1422633600,0.92435,0.92884,0.91893,0.9193,23371,23,0
1422648000,0.9193,0.92464,0.91678,0.91985,14496,23,0
1422835200,0.9263,0.92632,0.91996,0.92497,9550,27,0
