time,open,high,low,close,tick_volume,spread,real_volume
1420185600,120.413,120.498,120.303,120.401,13054,18,0
1420200000,120.401,120.647,120.371,120.598,10369,18,0
1420214400,120.599,120.733,119.8,120.226,20942,18,0
1420228800,120.227,120.525,120.202,120.459,8279,18,0
1420416000,120.51,120.598,119.973,120.393,19082,18,0
1420430400,120.394,120.638,120.227,120.397,11985,18,0
1420444800,120.399,120.503,120.123,120.205,17998,18,0
1420459200,120.204,120.426,119.748,119.817,22682,18,0
1420473600,119.816,119.831,119.367,119.603,28014,18,0
1420488000,119.602,119.786,119.484,119.628,12152,18,0
1420502400,119.628,119.628,119.151,119.438,13419,18,0
1420516800,119.438,119.438,118.876,118.95,13254,18,0
1420531200,118.95,119.228,118.645,118.828,22720,18,0
1420545600,118.827,119.383,118.739,118.994,21754,18,0
1420560000,118.993,119.188,118.044,118.472,33863,18,0
1420574400,118.471,118.805,118.075,118.383,19862,18,0
1420588800,118.394,118.999,118.385,118.993,14731,18,0
1420603200,118.995,119.158,118.796,118.862,10439,18,0
1420617600,118.866,119.245,118.688,118.824,19613,18,0
1420632000,118.824,119.539,118.756,119.399,25804,18,0
1420646400,119.399,119.641,119.286,119.479,27891,18,0
1420660800,119.479,119.524,118.84,119.243,21032,18,0
1420675200,119.239,119.707,119.151,119.682,13462,18,0
1420689600,119.68,119.809,119.596,119.696,11960,18,0
1420704000,119.695,119.956,119.667,119.743,18289,18,0
1420718400,119.744,119.889,119.415,119.445,21903,18,0
1420732800,119.449,119.721,119.374,119.515,24645,18,0
1420747200,119.516,119.76,119.484,119.653,12284,18,0
1420761600,119.653,119.87,119.463,119.564,14043,18,0
1420776000,119.563,119.624,119.156,119.324,11770,18,0
1420790400,119.324,119.483,119.276,119.322,17034,18,0
1420804800,119.324,119.762,118.789,119.496,27448,18,0
1420819200,119.504,119.651,118.41,118.559,34377,18,0
1420833600,118.56,118.654,118.446,118.481,12354,18,0
1421020800,118.304,118.425,118.116,118.377,9455,18,0
1421035200,118.377,118.499,118.091,118.12,8947,18,0
1421049600,118.12,119.142,118.108,119.128,18468,18,0
1421064000,119.128,119.312,118.764,118.854,19701,18,0
1421078400,118.854,118.907,118.17,118.293,27525,18,0
1421092800,118.295,118.378,118.12,118.325,12107,18,0
1421107200,118.338,118.477,117.731,117.843,16683,18,0
1421121600,117.844,118.692,117.783,118.653,15942,18,0
